Lp.,Spółka,Dzień zawieszenia,Dzień wykluczenia,Powód wykluczenia
1,ASSECOPOL,2007-01-03,2007-01-16,połączenie z innym podmiotem
2,EKODROB,2007-09-14,2007-01-26,przejęcie przez inny podmiot
3,BCHEM,2007-03-27,2007-03-30,przejęcie przez inny podmiot
4,ZREW,2007-04-02,2007-04-20,połączenie z innym podmiotem
5,POLMOSLBN,2007-02-15,2007-05-25,zniesienie dematerializacji akcji
6,RMFFM,2007-03-16,2007-06-15,zniesienie dematerializacji akcji
7,EMAX,2007-05-30,2007-06-18,połączenie z innym podmiotem
8,UNIMIL,2007-04-19,2007-07-06,przejęcie przez inny podmiot
9,SPIN,2007-06-26,2007-07-18,połączenie z innym podmiotem
10,PROVIMROL,2007-06-27,2007-08-09,przejęcie przez inny podmiot
11,POLMOSBIA,2007-06-14,2007-08-31,zniesienie dematerializacji akcji
12,HYDROBUD,2007-08-09,2007-09-03,połączenie z innym podmiotem
13,ELEKTROEX,,2007-12-14,upadłość
14,CSS,,2007-12-21,połączenie z innym podmiotem
