Lp.,Stara nazwa,Stary skrót,Nowa nazwa,Nowy skrót,Data zmiany
1,ARKSTEEL,ASL,POINTGROUP,PGM,2007-01-09
2,12PIAST,12N,BBIDEVNFI,BBD,2007-01-12
3,SOFTBANK,SFT,ASSECOPOL,ACP,2007-01-17
4,HOGA.PL,HGA,WASKO,WAS,2007-01-24
5,07NFI,07N,BBICAPNFI,BBC,2007-01-18
6,VENTUS,VNT,HAWE,HWE,2007-02-21
7,STRZELC,STC,ADVADIS,ADS,2007-03-27
8,7BULLS,7BC,TRITON,TRI,2007-04-13
9,COMPLAND,CPL,SYGNITY,SGN,2007-04-16
10,ELDORADO,EDR,EMPERIA,EMP,2007-05-14
11,ELMONTWAR,ELW,STORMM,STM,2007-07-09
12,02NFI,02N,KREZUS,KZS,2007-07-16
13,PTAGRUPP,PTA,SILVANO,SFG,2007-09-13
14,EUROFILMS,EUF,ERGIS,EEF,2007-09-14
15,IDMSAPL,IDM,IDMSA,IDM,2007-09-18
16,PUE,PUE,ZPUE,PUE,2007-10-16
17,DWORY,DWR,SYNTHOS,SNS,2007-10-31
18,10FOKSAL,10N,BBIZENNFI,BBZ,2007-12-14
