Lp.,Spółka,Dzień zawieszenia,Dzień ostatniego notowania,Powód wykluczenia
1,14ZACH,2010-12-29,2010-01-14,połączenie z innym podmiotem
2,ZNTKLAPY,2010-02-15,2010-02-05,upadłość spółki
3,PROSPER,2010-02-19,2010-02-23,zniesienie dematerializacji
4,SKYEUROPE,2010-04-15,2010-04-15,wykluczenie z obrotu na rynku macierzystym
5,IMMOEAST,2010-04-23,2010-05-04,połączenie z innym podmiotem
6,BANKIER.PL,2010-02-01,2010-05-24,zniesienie dematerializacji
7,OPTOPOL,2010-04-01,2010-06-29,zniesienie dematerializacji
8,TETA,2010-08-02,2010-08-25,przymusowy wykup
9,WSIP,2010-05-04,2010-09-01,zniesienie dematerializacji
10,HTLSTREFA,2010-02-23,2010-09-27,połączenie z innym podmiotem
11,ZEG,2010-12-02,2010-12-06,zniesienie dematerializacji
12,KABLE,2010-08-31,2010-12-22,zniesienie dematerializacji
13,NEPENTES,2010-09-14,2010-12-30,zniesienie dematerializacji
