Lp.,Spółka,Skrót
1,KGHM,KGH
2,PKOBP,PKO
3,PZU,PZU
4,PEKAO,PEO
5,PKNORLEN,PKN
6,TPSA,TPS
7,PGE,PGE
8,JSW,JSW
9,PGNIG,PGN
10,TAURONPE,TPE
11,BORYSZEW,BRS
12,PETROLINV,OIL
13,GETIN,GTN
14,LOTOS,LTS
15,BRE,BRE
16,KERNEL,KER
17,GTC,GTC
18,TVN,TVN
19,CDRED,CDR
20,SYNTHOS,SNS
21,BZWBK,BZW
22,PBG,PBG
23,ASSECOPOL,ACP
24,HANDLOWY,BHW
25,BOGDANKA,LWB
26,CYFRPLSAT,CPS
27,MILLENNIUM,MIL
28,EUROCASH,EUR
29,GPW,GPW
30,HAWE,HWE
31,INGBSK,BSK
32,MIDAS,MDS
33,ENEA,ENA
34,CEZ,CEZ
35,KOV,KOV
36,POLIMEXMS,PXM
37,NETIA,NET
38,CEDC,CDC
39,IMPEXMET,IPX
40,CIECH,CIE
41,KREDYTB,KRB
42,LPP,LPP
43,CALATRAVA,CTC
44,AZOTYTARNOW,ATT
45,ORBIS,ORB
46,ASTARTA,AST
47,IDMSA,IDM
48,BIOTON,BIO
49,KOPEX,KPX
50,EMPERIA,EMP
51,CORMAY,CRM
52,PULAWY,ZAP
53,AGORA,AGO
54,CITYINTER,CIA
55,BUDIMEX,BDX
56,NEWWORLDR,NWR
57,MCI,MCI
58,POLICE,PCE
59,SKOTAN,SKT
60,MOL,MOL
61,CCC,CCC
62,SYGNITY,SGN
63,NEWWORLDN,NWN
64,ROVESE,RSE
65,POLNORD,PND
66,TUEUROPA,ERP
67,AMREST,EAT
68,COMARCH,CMR
69,OPENFIN,OPF
70,ECHO,ECH
71,CENTROZAP,CZP
72,COGNOR,COG
73,DUDA,DUD
74,SADOVAYA,SGR
75,SWIECIE,MSC
76,BANKBPH,BPH
77,EFH,EFH
78,ALCHEMIA,ALC
79,GROCLIN,GCN
80,KRUK,KRU
81,KETY,KTY
82,CCIINT,CCI
83,RAFAKO,RFK
84,LUBAWA,LBW
85,PEP,PEP
86,WASKO,WAS
87,NFIEMF,EMF
88,BGZ,BGZ
89,AGROTON,AGT
90,KREZUS,KZS
91,STALPROD,STP
92,MNI,MNI
93,GANT,GNT
94,HBPOLSKA,HBP
95,IPOPEMA,IPE
96,INTERCARS,CAR
97,GRAJEWO,GRJ
98,PRONOX,PRO
99,HERKULES,HRS
100,KOGENERA,KGN
101,ELSTAROIL,ELS
102,INTEGERPL,ITG
103,MOSTALZAB,MSZ
104,BOMI,BMI
105,CHEMOS,CHS
106,DOMDEV,DOM
107,ABPL,ABE
108,DSS,DSS
109,VISTULA,VST
110,08OCTAVA,08N
111,FERRUM,FER
112,SILVANO,SFG
113,JWCONSTR,JWC
114,KSGAGRO,KSG
115,FON,FON
116,ACTION,ACT
117,PELION,PEL
118,TRAKCJA,TRK
119,PLAZACNTR,PLZ
120,APATOR,APT
121,MOSTALWAR,MSW
122,IGROUP,IGR
123,LCCORP,LCC
124,MOSTALEXP,MSX
125,OPONEO,PL,OPN
126,FAMUR,FMF
127,ERG,ERG
128,RANKPROGR,RNK
129,MIRBUD,MRB
130,MWTRADE,MWT
131,ZELMER,ZLR
132,PEPEES,PPS
133,AMICA,AMC
134,BBIDEVNFI,BBD
135,ZASTAL,ZST
136,JAGO,JAG
137,COLIAN,COL
138,RUBICON,RBC
139,MIRACULUM,MIR
140,ORCOGROUP,OPG
141,WAWEL,WWL
142,COMP,CMP
143,GETINOBLE,GNB
144,MILKILAND,MLK
145,ADVADIS,ADS
146,INVESTCON,INC
147,IMPEL,IPL
148,LENTEX,LTX
149,MONNARI,MON
150,EKO,EKO
151,POLJADLO,PLJ
152,ELBUDOWA,ELB
153,ORZBIALY,OBL
154,STALEXP,STX
155,BARLINEK,BRK
156,ABCDATA,ABC
157,DGA,DGA
158,ERBUD,ERB
159,ATLANTIS,ATS
160,ARCTIC,ATC
161,IZNS,IZN
162,KONSSTALI,KST
163,OVOSTAR,OVO
164,06MAGNA,06N
165,FORTE,FTE
166,PCGUARD,PCG
167,MIESZKO,MSO
168,ENERGOPLD,EPD
169,DEBICA,DBC
170,KOELNER,KLR
171,SNIEZKA,SKA
172,SANOK,SNK
173,TESGAS,TSG
174,NOWAGALA,CNG
175,ACE,ACE
176,MERCOR,MCR
177,ZREMB,ZRE
178,CCENERGY,CCE
179,ALMA,ALM
180,BBIZENNFI,BBZ
181,PROCHNIK,PRC
182,AMBRA,AMB
183,STALPROFI,STF
184,SOBIESKI,BVD
185,BLACKLION,BLI
186,BBICAPNFI,BBC
187,KREDYTIN,KRI
188,ASSECOSLO,ACS
189,FORTUNA,FEG
190,MIT,MIT
191,WARIMPEX,WXF
192,DROZAPOL,DPL
193,NEUCA,NEU
194,BENEFIT,BFT
195,COALENERG,CLE
196,IMCOMPANY,IMC
197,PLASTBOX,PLX
198,BMPAG,BMP
199,K2INTERNT,K2I
200,ATM,ATM
201,FARMACOL,FCL
202,PEKAES,PEK
203,EKOEXPORT,EEX
204,INSTALKRK,INK
205,PBSFINANSE,PBF
206,PAGED,PGD
207,POLAQUA,PQA
208,MENNICA,MNC
209,IZOSTAL,IZS
210,GINOROSSI,GRI
211,POZBUD,POZ
212,AVIASG,ASG
213,RADPOL,RDL
214,SFINKS,SFS
215,PROTEKTOR,PRT
216,ROBYG,ROB
217,ASSECOBS,ABS
218,GRAAL,GRL
219,WARFAMA,WFM
220,LIBET,LBT
221,HYGIENIKA,HGN
222,BYTOM,BTM
223,MAGELLAN,MAG
224,BUDOPOL,BDL
225,QUMAKSEK,QSM
226,KRUSZWICA,KSW
227,BAKALLAND,BAK
228,PTI,PTI
229,ONE2ONE,O2O
230,MMPPL,MMP
231,ALTERCO,ALT
232,FAM,FAM
233,KRAKCHEM,KCH
234,BUMECH,BMC
235,REDAN,RDN
236,SANWIL,SNW
237,LENA,LEN
238,ENERGOPOL,EPL
239,ATREM,ATR
240,LSTCAPITA,LST
241,UNIBEP,UNI
242,HUTMEN,HTM
243,ZPUE,PUE
244,DRAGOWSKI,ADD
245,KOMPAP,KMP
246,TIM,TIM
247,NOVITUS,NVS
248,SELENAFM,SEL
249,WIELTON,WLT
250,ATMGRUPA,ATG
251,KOMPUTRON,KOM
252,ELKOP,EKP
253,MARVIPOL,MVP
