Lp.,Spółka,Cena emisyjna,Pierwszy dzień,Pierwsze zamknięcie,Kurs na koniec roku,Zmiana kursu od emisji,Zmiana od pierwszego zamknięcia
1,BSCDRUK,17.50,2011-01-04,17.39,15.30,-12.57,-12.02
2,IZOSTAL,5.50,2011-01-11,7.07,6.58,19.64,-6.93
3,WADEX,12.15,2011-01-12,12.08,7.70,-36.63,-36.26
4,INPRO,6.60,2011-02-17,6.70,3.18,-51.82,-52.54
5,IDEATFI,10.00,2011-02-22,10.50,4.03,-59.70,-61.62
6,MEGARON,24.00,2011-02-25,27.40,20.50,-14.58,-25.18
7,AVIASG,52.00,2011-03-03,55.15,28.35,-45.48,-48.59
8,ESTAR,143.10,2011-03-22,150.00,145.00,1.33,-3.33
9,EUIMPLANT,0.54,2011-03-29,0.58,0.21,-61.11,-63.79
10,QUERCUS,3.33,2011-03-30,3.25,2.00,-39.94,-38.46
11,OPENFIN,18.00,2011-04-05,18.41,10.55,-41.39,-42.69
12,KINOPOL,9.50,2011-04-12,10.16,5.67,-40.32,-44.19
13,ADVGRUPA,15.58,2011-04-13,15.70,10.29,-33.95,-34.46
14,BENEFIT,107.00,2011-04-21,122.00,137.60,28.60,12.79
15,LIBET,4.65,2011-04-28,4.64,3.60,-22.58,-22.41
16,IMCOMPANY,10.80,2011-05-04,11.05,7.81,-27.69,-29.32
17,KSGAGRO,22.00,2011-05-05,22.12,20.50,-6.82,-7.32
18,NEWWORLDR,40.85,2011-05-09,45.28,23.50,-42.47,-48.10
19,KRUK,39.70,2011-05-10,41.71,43.72,10.13,4.82
20,NOVAKBM,31.78,2011-05-11,33.60,14.40,-54.69,-57.14
21,PBOANIOLA,11.50,2011-05-18,8.98,3.20,-72.17,-64.37
22,BGZ,60.00,2011-05-27,61.25,46.80,-22.00,-23.59
23,ENELMED,5.00,2011-06-14,5.09,3.73,-25.40,-26.72
24,WESTAISIC,11.75,2011-06-15,12.00,2.99,-74.55,-75.08
25,OVOSTAR,62.00,2011-06-29,62.20,67.00,8.06,7.72
26,JSW,136.00,2011-07-06,136.00,84.10,-38.16,-38.16
27,AGROWILL,1.14,2011-07-08,1.20,0.65,-42.98,-45.83
28,DMWDM,0.60,2011-07-19,0.60,0.38,-36.67,-36.67
29,PRESCO,6.00,2011-07-29,6.40,5.28,-12.00,-17.50
30,COALENERG,20.00,2011-08-04,19.20,21.50,7.50,11.98
31,JHMDEV,1.50,2011-08-09,1.51,1.42,-5.33,-5.96
32,ACAUTOGAZ,19.50,2011-08-11,19.90,20.00,2.56,0.50
33,TOYA,2.80,2011-08-12,2.76,2.44,-12.86,-11.59
34,PGODLEW,1.00,2011-10-10,0.76,1.58,58.00,107.89
35,ZAMET,1.50,2011-10-10,1.13,1.69,12.67,49.56
36,IQP,2.18,2011-10-11,1.88,1.81,-16.97,-3.72
37,SOPHARMA,7.38,2011-11-28,7.50,6.50,-11.92,-13.33
38,EUROHOLD,2.73,2011-12-15,3.00,3.22,17.95,7.33
